full_total_building_area,area_code,lat,long,project_main_usage,number_of_buildings,total_land_area,floor_area_ratio,period_days,land_price,salary_avg_construction,hot_rolled_coil,end_date,start_date,investment
23898.0,440113,22.95604,113.360354,mixed use,2.0,,,699.0,4782.33333333333,33734.0,,2014-06-13,2012-07-14,2896.0
203886.0,440111,23.156884,113.207571,residential,,91579.0,2.22634009980454,1491.0,1376.66666666667,26158.0,,2014-03-30,2010-02-28,3196.0
133198.0,440116,23.139307,113.537622,industrial,11.0,,,450.0,4840.33333333333,33734.0,,2014-03-02,2012-12-07,38000.0
21614.0,440106,23.119488,113.357485,residential,1.0,,,577.0,4840.33333333333,33734.0,,2014-06-14,2012-11-14,7708.0
46085.0,440106,23.114491,113.37212,commercial,1.0,3430.0,13.435860058309038,731.0,1376.66666666667,26158.0,,2012-02-29,2010-02-28,21500.0
107478.0,440116,23.162299,113.45392,mixed use,3.0,,,890.0,4935.33333333333,39781.0,,2015-06-26,2013-01-17,24800.0
160857.0,440183,23.278305,113.747619,residential,10.0,125397.96,1.2827720642345377,1955.0,4935.33333333333,39781.0,,2018-07-30,2013-03-23,36840.0
9251.77,440114,23.451021,113.422152,commercial,18.0,,,730.0,6297.66666666667,44152.0,3270.1,2016-06-29,2014-06-30,3188.0
25360.0,440106,23.129649,113.329267,commercial,1.0,,,549.0,6560.33333333333,48288.0,2597.0666666666666,2016-08-30,2015-02-28,1484.6889
182665.19,440114,23.37096,113.218798,mixed use,9.0,,,1156.0,4840.33333333333,33734.0,,2015-12-30,2012-10-30,36532.0
83173.0,440114,23.423569,113.202103,residential,8.0,,,975.0,1352.33333333333,26158.0,,2012-12-05,2010-04-05,9982.0
31379.0,440104,22.640712,113.606134,residential,3.0,,,1156.0,1259.33333333333,23334.0,,2012-09-29,2009-07-31,12301.0
84930.0,440105,23.090628,113.297084,commercial,1.0,31523.0,2.69,884.0,1370.0,26158.0,,2012-12-30,2010-07-30,21000.0
7413.0,440106,-1.0,-1.0,mixed use,1.0,,,549.0,6657.0,48288.0,2416.714285714286,2016-10-19,2015-04-19,2637.0
8446.0,440105,23.086548,113.303407,commercial,1.0,,,610.0,6657.0,48288.0,2416.714285714286,2016-12-29,2015-04-29,4414.0
30000.0,440116,23.399074,113.489365,industrial,4.0,,,739.0,1319.0,23334.0,,2011-12-29,2009-12-20,11550.0
20882.0,440111,23.197084,113.338621,residential,2.0,,,365.0,1370.0,26158.0,,2011-09-09,2010-09-09,2088.2
122804.0,440106,23.152668,113.317104,commercial,3.0,,,731.0,1370.0,26158.0,,2012-07-30,2010-07-30,3713.0
3900.0,440116,23.144595,113.446413,industrial,1.0,1769.0,2.2046353872244207,379.0,7369.66666666667,53964.0,2279.85,2017-06-30,2016-06-16,2000.0
77215.0,440183,23.13588,113.62258,mixed use,7.0,,,1201.0,4840.33333333333,33734.0,,2016-04-14,2012-12-30,15113.6685
15336.13,440114,23.447936,113.350328,industrial,2.0,,,365.0,6373.66666666667,44152.0,3272.095238095238,2015-08-01,2014-08-01,1700.0
60000.0,440113,22.973594,113.34259,residential,,9000.0,6.666666666666667,930.0,6297.66666666667,44152.0,3307.0,2016-12-14,2014-05-29,7447.1069
4991.0,440115,22.84449,113.505598,public,2.0,,,204.0,1376.66666666667,26158.0,,2010-10-14,2010-03-24,2841.0
46255.0,440116,23.385398,113.499135,industrial,9.0,,,550.0,1319.0,23334.0,,2011-06-25,2009-12-22,15000.0
21469.0,440116,23.15588,113.532955,industrial,3.0,,,304.0,4840.33333333333,33734.0,,2013-08-30,2012-10-30,3030.0
103535.0,440111,23.277515,113.21005,commercial,6.0,33220.0,3.116646598434678,730.0,7894.33333333333,53964.0,3280.181818181818,2018-11-30,2016-11-30,22000.0
23113.12,440114,23.460206,113.16812,residential,6.0,,,550.0,7369.66666666667,53964.0,2628.15,2017-10-29,2016-04-27,3803.495
135431.0,440105,23.426498,113.423622,commercial,2.0,13444.0,10.073713180601011,1096.0,5621.0,39781.0,,2016-11-24,2013-11-24,19000.0
63434.21,440115,22.721641,113.527923,industrial,8.0,41320.8,1.5351641304137382,242.0,6441.66666666667,44152.0,2863.8,2015-07-19,2014-11-19,28000.0
13254.0,440116,23.192067,113.567482,industrial,3.0,795.0,,365.0,6560.33333333333,48288.0,2532.3636363636365,2016-03-14,2015-03-15,7000.0
31782.9,440116,23.18286,113.441134,public,1.0,10525.0,3.01975296912114,1096.0,5398.0,39781.0,,2016-09-27,2013-09-27,19822.23
17614.3,440116,23.16102,113.482293,industrial,3.0,16349.806,1.0775,127.0,1376.66666666667,26158.0,,2010-07-12,2010-03-07,11946.55
4835.08,440115,22.821335,113.515204,industrial,,,,700.0,1618.33333333333,29347.0,,2013-08-04,2011-09-04,4360.0
80197.0,440115,22.746048,113.573912,industrial,,,,266.0,6297.66666666667,44152.0,3270.1,2015-03-02,2014-06-09,13300.0
4265.0,440116,23.124707,113.525829,supporting facilities,1.0,6832.0,0.6243,275.0,4719.33333333333,33734.0,,2013-01-04,2012-04-04,1269.0
4926.0,440184,23.433762,113.482898,public,1.0,,,10.0,4719.33333333333,33734.0,,2012-04-19,2012-04-09,1086.6977
24765.0,440105,23.186715,113.336663,residential,2.0,,,549.0,1370.0,26158.0,,2012-01-25,2010-07-25,6500.0
49160.0,440106,23.1465,113.35742,commercial,1.0,,,1006.0,6560.33333333333,48288.0,2532.3636363636365,2017-12-19,2015-03-19,12000.0
12075.0,440183,23.165197,113.670073,industrial,3.0,,,365.0,6657.0,48288.0,2477.95,2016-05-13,2015-05-14,1800.0
45520.0,440114,23.550741,113.300107,residential,7.0,54720.27,0.8318672404211457,784.0,7175.0,53964.0,2266.260869565217,2018-05-24,2016-03-31,21879.0
247794.0,440113,22.924027,113.356622,commercial,,64861.0,3.8203851312807386,1005.0,1376.66666666667,26158.0,,2012-12-30,2010-03-31,30000.0
21490.0,440111,23.233568,113.308631,public,1.0,,,713.0,6560.33333333333,48288.0,2719.4,2016-12-30,2015-01-17,14092.0
91764.0,440183,23.119631,113.579917,mixed use,10.0,,,1095.0,5398.0,39781.0,,2016-08-08,2013-08-09,18354.5963
12609.0,440116,23.171689,113.505005,industrial,3.0,20898.0,0.95,275.0,1473.66666666667,29347.0,,2011-12-30,2011-03-30,15600.0
50709.0,440111,23.194368,113.329568,residential,1.0,,,731.0,1352.33333333333,26158.0,,2012-06-09,2010-06-09,5974.3315
18603.76,440111,23.254877,113.470665,public,1.0,,,244.0,7175.0,53964.0,1918.1,2016-09-02,2016-01-02,2488.0
21000.0,440183,23.157305,113.561529,residential,,21000.0,1.0,1095.0,5398.0,39781.0,,2016-07-30,2013-07-31,1500.0
28800.0,440113,23.134124,113.259263,public,2.0,,,640.0,1376.66666666667,26158.0,,2011-12-30,2010-03-30,24799.0
133235.8,440183,23.279922,113.614701,residential,19.0,49557.3,2.6885201574742768,549.0,1370.0,26158.0,,2012-01-14,2010-07-14,17000.0
266369.0,440113,22.976455,113.471832,residential,12.0,,,681.0,1319.0,23334.0,,2011-10-29,2009-12-17,12000.0
13723.96,440114,23.451021,113.422152,residential,,,,731.0,1473.66666666667,29347.0,,2013-03-31,2011-03-31,1243.0
45288.1,440116,23.025551,113.317377,supporting facilities,6.0,,,790.0,6987.33333333333,48288.0,1764.7142857142858,2018-01-28,2015-11-30,23000.0
8931.0,440183,23.426498,113.423622,commercial,,,,364.0,6373.66666666667,44152.0,3272.095238095238,2015-08-30,2014-08-31,1900.0
15046.4,440116,23.155705,113.422493,public,2.0,,,562.0,1618.33333333333,29347.0,,2013-01-31,2011-07-19,2114.6452
77818.2,440111,23.064409,113.242327,mixed use,1.0,18998.0,4.096125907990315,759.0,4719.33333333333,33734.0,,2014-06-29,2012-05-31,9088.0
35230.7,440111,23.319658,113.289563,residential,4.0,,,761.0,6441.66666666667,44152.0,2863.8,2016-12-30,2014-11-30,8000.0
9953.0,440183,23.268043,113.841194,residential,2.0,,,357.0,1397.0,26158.0,,2011-09-29,2010-10-07,2000.0
30066.54,440114,23.465652,113.185723,residential,8.0,3690.38,8.147274806388502,365.0,1397.0,26158.0,,2011-12-27,2010-12-27,3177.6
51710.4,440113,23.037398,113.320188,commercial,1.0,10740.0,4.814748603351956,730.0,4782.33333333333,33734.0,,2014-07-31,2012-07-31,9000.0
112084.7,440183,23.119562,113.615578,mixed use,7.0,16712.6,6.706598614219212,1010.0,6441.66666666667,44152.0,2863.8,2017-08-30,2014-11-24,24970.0
34780.0,440113,23.426498,113.423622,mixed use,1.0,,,730.0,5398.0,39781.0,,2015-09-17,2013-09-17,4993.0
311.5,440116,23.016274,113.33497,supporting facilities,1.0,1011.0,0.30811078140454995,151.0,1319.0,23334.0,,2010-05-30,2009-12-30,1454.0
212620.0,440106,23.324447,113.149852,commercial,1.0,,,365.0,1319.0,23334.0,,2010-12-31,2009-12-31,19000.0
8452.0,440114,23.37367,113.159975,industrial,4.0,,,273.0,1618.33333333333,29347.0,,2012-04-29,2011-07-31,3180.0
52673.88,440115,23.240742,113.275968,mixed use,7.0,11306.0,4.65893154077481,425.0,5621.0,39781.0,,2014-12-30,2013-10-31,14000.0
16126.0,440106,23.172043,113.414089,public,1.0,,,222.0,4782.33333333333,33734.0,,2013-04-09,2012-08-30,5500.0
19997.0,440184,-1.0,-1.0,public,1.0,,,731.0,1541.66666666667,29347.0,,2013-06-17,2011-06-17,8125.5169
10000.0,440116,23.165153,113.453427,public,,78000.0,0.1282051282051282,896.0,1352.33333333333,26158.0,,2012-09-30,2010-04-18,23364.0
98500.0,440184,23.636539,113.648254,residential,110.0,151618.0,0.6496590114630189,2016.0,889.666666666667,19491.0,,2011-11-30,2006-05-24,10342.5
77621.0,440116,23.168618,113.534733,industrial,4.0,,,305.0,5131.33333333333,39781.0,,2014-03-21,2013-05-20,12000.0
23154.0,440115,22.771566,113.541236,industrial,2.0,,,394.0,1473.66666666667,29347.0,,2012-03-17,2011-02-17,1667.376
11159.0,440105,23.078465,113.335337,commercial,1.0,,,731.0,1618.33333333333,29347.0,,2013-09-29,2011-09-29,1700.0
116640.9,440105,23.059191,113.324788,mixed use,5.0,,,699.0,1376.66666666667,26158.0,,2011-12-30,2010-01-30,34850.0
2933.1,440113,23.003888,113.332424,public,1.0,,,213.0,1352.33333333333,26158.0,,2010-12-30,2010-05-31,7000.0
17424.0,440105,23.101349,113.374673,public,,262561.0,0.06636172165706256,134.0,6373.66666666667,44152.0,3272.095238095238,2014-12-30,2014-08-18,20050.05
80490.0,440183,23.426498,113.423622,commercial,2.0,,,669.0,1618.33333333333,29347.0,,2013-06-30,2011-08-31,12778.25
21314.0,440116,23.127529,113.433588,mixed use,3.0,,,122.0,1352.33333333333,26158.0,,2010-09-24,2010-05-25,16000.0
25644.0,440116,23.199307,113.562652,industrial,4.0,,,578.0,4935.33333333333,39781.0,,2014-09-29,2013-02-28,3000.0
51479.0,440113,23.020794,113.375383,residential,4.0,15931.0,2.24,731.0,6297.66666666667,44152.0,3403.904761904762,2016-04-30,2014-04-30,9800.0
8900.0,440115,22.637411,113.667709,industrial,1.0,12000.0,0.7416666666666667,82.0,6987.33333333333,48288.0,1855.5294117647056,2015-12-30,2015-10-09,2330.0
108158.0,440105,23.068373,113.275388,residential,5.0,,,730.0,7369.66666666667,53964.0,2279.85,2018-06-14,2016-06-14,13049.95
40246.0,440103,23.125306,113.250067,residential,1.0,,,335.0,1259.33333333333,23334.0,,2010-08-30,2009-09-29,3332.0
119486.0,440103,23.11673,113.21396,residential,4.0,4.0,,1232.0,1143.0,22917.0,,2011-05-30,2008-01-14,11312.0257
55217.0,440115,22.718033,113.534127,industrial,1.0,,,1439.0,7369.66666666667,53964.0,2628.15,2020-03-18,2016-04-09,9820.0
134598.0,440183,23.257407,113.783687,residential,,105594.5,1.2746686617200707,1777.0,4840.33333333333,33734.0,,2017-09-29,2012-11-17,27650.0
65858.0,440104,23.14053,113.290357,residential,1.0,,,740.0,5131.33333333333,39781.0,,2015-04-14,2013-04-04,15313.25
4346.0,440112,23.120434,113.55611,industrial,1.0,1611.0,2.6977032898820608,214.0,,81755.0,3673.3,2023-12-29,2023-05-29,1077.82
3504.0,440111,23.217918,113.224441,industrial,1.0,2897.0,1.21,515.0,,81755.0,4161.6875,2024-06-28,2023-01-30,9573.0
72247.0,440114,23.438038,113.373718,industrial,3.0,17145.62,4.21,611.0,,81755.0,4325.652173913043,2024-11-28,2023-03-28,20000.0
121401.74,440114,23.372879,113.132108,industrial,5.0,33073.0,3.6707205273183567,822.0,,78409.0,5144.173913043478,2024-06-28,2022-03-29,25000.0
18555.0,440113,23.026086,113.498945,industrial,1.0,8993.31,2.0632003122320928,184.0,,81755.0,3968.7894736842095,2023-10-25,2023-04-24,8000.0
52847.0,440103,23.105222,113.242973,commercial,,52847.0,1.0,686.0,,81755.0,3673.3,2025-03-29,2023-05-13,18585.0
71380.91,440113,22.963192,113.471038,industrial,4.0,18162.0,3.930234005065522,761.0,,78409.0,3712.090909090909,2024-12-29,2022-11-29,10600.0
53000.0,440183,23.280848,113.780333,industrial,4.0,,,244.0,,81755.0,3968.7894736842095,2023-12-23,2023-04-23,37500.0
8191.62,440183,23.154442,113.6323,public,,12230.49,0.6697703853238913,547.0,,78409.0,4009.4545454545455,2024-06-20,2022-12-21,4745.6394
70000.0,440183,23.105133,113.559134,residential,,16243.0,4.309548728683125,1760.0,,81755.0,3673.3,2028-03-07,2023-05-13,42000.0
98000.0,440111,23.260953,113.359579,industrial,,42098.0,2.327901563019621,425.0,,81755.0,3673.3,2024-07-26,2023-05-28,18000.0
70411.33,440183,23.171628,113.634744,industrial,,35333.33,1.9927736785635546,731.0,,81755.0,4325.652173913043,2025-03-31,2023-03-31,48000.0
5346.0,440105,23.098396,113.340299,industrial,,5346.0,1.0,242.0,,81755.0,3673.3,2024-01-13,2023-05-16,3950.0
28927.53,440113,22.903771,113.310733,residential,3.0,15739.075,1.8379434623699296,454.0,,81755.0,4161.6875,2024-04-28,2023-01-30,16139.5
21243.0,440114,23.379589,113.186798,industrial,3.0,18300.0,1.1608196721311475,699.0,,81755.0,4161.6875,2024-12-29,2023-01-30,6379.0
134224.0,440114,23.433765,113.336754,industrial,2.0,,,190.0,,81755.0,3968.7894736842095,2023-11-03,2023-04-27,20000.0
35907.0,440114,23.36761,113.25642,industrial,1.0,14807.0,2.4250016883906262,373.0,,81755.0,3968.7894736842095,2024-04-28,2023-04-21,42000.0
12244.0,440183,23.231513,113.73635,industrial,3.0,,,548.0,,78409.0,3697.875,2024-04-18,2022-10-18,3000.0
38000.0,440114,23.485926,113.347209,industrial,2.0,30033.59,1.2652500084072533,702.0,,81755.0,3968.7894736842095,2025-03-15,2023-04-13,8500.0
35935.36,440112,23.194596,113.428832,public,2.0,6633.0,5.4176631991557365,903.0,,81755.0,3968.7894736842095,2025-10-15,2023-04-26,27548.0
37047.0,440114,23.414276,113.41479,industrial,2.0,14696.7,2.520769968768499,365.0,,81755.0,3885.857142857143,2024-07-29,2023-07-30,9000.0
3659.77,440112,23.103947,113.450576,industrial,1.0,3225.0,1.1348124031007751,306.0,,81755.0,4325.652173913043,2024-01-28,2023-03-28,14246.0
18329.33,440112,23.05019,113.522808,industrial,1.0,7505.0,2.53,364.0,,78409.0,4009.4545454545455,2023-12-29,2022-12-30,7679.31
7363.0,440106,23.167808,113.361969,residential,1.0,,,352.0,,81755.0,3968.7894736842095,2024-04-15,2023-04-29,2500.0
15129.68,440115,22.890972,113.449687,commercial,1.0,3693.3,4.09652072672136,562.0,,81755.0,3785.3,2024-12-29,2023-06-16,6000.0
63000.0,440114,23.391649,113.084473,industrial,3.0,26666.0,2.362559063976599,265.0,,81755.0,4325.652173913043,2023-12-20,2023-03-30,28000.0
20474.0,440111,23.328332,113.228574,commercial,1.0,8009.0,2.556374079160944,731.0,,81755.0,3872.15,2025-09-19,2023-09-19,7200.0
46389.15,440114,23.397976,113.184607,residential,5.0,,,770.0,10039.0,76064.0,5666.272727272727,2023-10-08,2021-08-29,37533.0
30187.59,440183,23.275462,113.836434,mixed use,2.0,12374.49,2.439501749162996,587.0,,81755.0,4325.652173913043,2024-10-20,2023-03-13,3900.0
36533.0,440113,22.990881,113.349853,residential,,,,1178.0,,81755.0,3968.7894736842095,2026-06-29,2023-04-08,8500.0
10811.06,440106,23.113748,113.393854,commercial,,10811.06,1.0,402.0,,78409.0,3697.875,2023-11-28,2022-10-22,10000.0
70000.0,440114,23.363624,113.100053,industrial,,20000.0,3.5,579.0,,81755.0,4180.75,2024-09-28,2023-02-27,27000.0
2349.29,440184,23.577373,113.516368,public,1.0,,,203.0,,81755.0,3968.7894736842095,2023-10-28,2023-04-08,1200.0
30425.0,440113,22.972607,113.36976,commercial,1.0,10107.0,3.01,760.0,9814.0,76064.0,4587.0,2023-03-29,2021-02-27,26600.0
19890.0,440106,23.114973,113.389534,commercial,,7601.0,2.616760952506249,429.0,,81755.0,3968.7894736842095,2024-06-10,2023-04-08,4516.0
4106.0,440115,22.769306,113.515883,public,1.0,4106.0,1.0,1.0,,81755.0,4325.652173913043,2023-03-06,2023-03-05,3174.13
14317.53,440114,23.376744,113.081641,industrial,3.0,14317.53,1.0,366.0,,81755.0,4325.652173913043,2024-03-29,2023-03-29,15000.0
28000.0,440113,22.945668,113.496839,commercial,2.0,8595.0,3.2577079697498545,438.0,,81755.0,4325.652173913043,2024-05-31,2023-03-20,3000.0
23609.44,440105,23.107879,113.269929,mixed use,1.0,3038.0,7.77137590520079,2065.0,8250.0,61743.0,3999.545454545456,2024-02-28,2018-07-04,13388.6971
14343.0,440184,23.450287,113.522569,supporting facilities,,125805.62,0.11400921516860694,213.0,,81755.0,4325.652173913043,2023-10-27,2023-03-28,14103.35
64300.0,440113,22.949564,113.472094,industrial,,14081.59,4.566245715150065,760.0,,81755.0,3673.3,2025-06-28,2023-05-30,1523.615
7702.87,440183,23.197635,113.663337,public,5.0,9900.3,0.7780440996737473,446.0,,78409.0,3712.090909090909,2024-02-15,2022-11-26,5166.87
97989.0,440183,23.12405,113.589503,mixed use,8.0,,,817.0,,81755.0,4161.6875,2025-03-30,2023-01-03,42000.0
5300.0,440103,23.074677,113.243059,public,1.0,2134.26,2.4832963181617984,100.0,,81755.0,4180.75,2023-05-30,2023-02-19,3280.0
122500.0,440114,23.39362,113.077563,industrial,4.0,30627.32,3.9996970025454397,549.0,,81755.0,3968.7894736842095,2024-10-01,2023-04-01,40000.0
17936.0,440113,22.984191,113.383204,industrial,1.0,,,900.0,,81755.0,4325.652173913043,2025-09-03,2023-03-18,12000.0
59693.68,440112,23.117278,113.458022,commercial,4.0,17992.0,3.317790128946198,91.0,,81755.0,4325.652173913043,2023-06-29,2023-03-30,48000.0
15008.46,440113,22.953347,113.438401,public,2.0,27962.0,0.54,919.0,10039.0,76064.0,5703.95,2024-03-29,2021-09-22,4500.0
39111.0,440111,23.169858,113.223775,industrial,,,,506.0,,81755.0,4180.75,2024-06-29,2023-02-09,20000.1
20000.0,440114,23.326188,113.088984,industrial,,34622.83,0.5776535309216491,319.0,,81755.0,4180.75,2023-12-30,2023-02-14,3800.0
460.56,440112,23.00568,113.40933,mixed use,1.0,,,780.0,,78409.0,3712.090909090909,2024-12-29,2022-11-10,2470.45
80664.0,440114,23.376744,113.081641,industrial,6.0,33647.0,2.3973608345469137,550.0,,81755.0,4325.652173913043,2024-09-14,2023-03-14,49973.07
84285.62,440114,23.376744,113.081641,industrial,5.0,20010.0,4.212174912543728,333.0,,81755.0,4325.652173913043,2024-02-12,2023-03-16,23000.0
6994.03,440112,23.142992,113.445926,mixed use,1.0,1321.0,5.2944965934897805,519.0,,81755.0,4325.652173913043,2024-08-30,2023-03-30,6000.0
78843.09,440112,23.220145,113.573773,industrial,,,,1094.0,,78409.0,4009.4545454545455,2025-12-29,2022-12-31,48300.0
2000.0,440106,23.164689,113.333356,public,2.0,,,245.0,,81755.0,4180.75,2023-10-31,2023-02-28,1097.19
26238.1,440113,22.980982,113.438537,industrial,2.0,10617.0,2.47,365.0,,76064.0,5506.9375,2022-10-29,2021-10-29,7798.34
70488.0,440112,23.393038,113.49093,residential,9.0,70488.0,1.0,194.0,,81755.0,4161.6875,2023-07-14,2023-01-01,5510.0
81200.0,440114,23.368305,113.239326,industrial,4.0,16667.0,4.871902561948761,668.0,,81755.0,4180.75,2024-12-26,2023-02-27,21000.0
68400.0,440183,23.186741,113.653939,industrial,,12980.57,5.269414209083268,1.0,,81755.0,4180.75,2023-02-28,2023-02-27,20000.0
3136.51,440103,23.121468,113.222673,public,,42814.0,0.0732589807072453,179.0,,81755.0,4180.75,2023-08-22,2023-02-24,8000.0
7174.61,440114,23.398743,113.205262,residential,2.0,2732.0,2.626138360175695,534.0,,81755.0,4180.75,2024-07-30,2023-02-12,1856.15
40703.0,440111,23.284217,113.344708,industrial,,12034.0,3.3823333887319262,762.0,,78409.0,4009.4545454545455,2025-01-30,2022-12-30,36000.0
9946.0,440112,23.059757,113.371386,industrial,,16835.0,0.5907929907929907,130.0,,81755.0,4180.75,2023-06-19,2023-02-09,1150.0
8618.0,440183,23.250451,113.827566,public,1.0,4668.43,1.846016755097538,365.0,,78409.0,3712.090909090909,2023-11-30,2022-11-30,2000.0
6400.0,440114,23.537405,113.541773,industrial,1.0,13365.75,0.4788358303873707,152.0,,81755.0,4325.652173913043,2023-08-10,2023-03-11,2500.0
95545.0,440106,23.114706,113.381163,commercial,,9651.0,9.900010361620557,366.0,,81755.0,3968.7894736842095,2024-04-20,2023-04-20,5673.7
57173.81,440113,22.977011,113.363805,industrial,3.0,22907.0,2.495909983847732,760.0,,78409.0,3697.875,2024-11-28,2022-10-30,25400.0
17000.0,440111,23.357084,113.389038,industrial,,5821.0,2.9204604019927847,549.0,,81755.0,4180.75,2024-08-30,2023-02-28,2000.0
19329.89,440113,22.977011,113.363805,industrial,1.0,4833.57,3.9990917686099507,761.0,,78409.0,3697.875,2024-11-29,2022-10-30,7179.0
17279.71,440112,23.129179,113.557208,industrial,3.0,8994.44,1.9211546244124145,426.0,9959.33333333333,76064.0,5812.166666666667,2022-07-31,2021-05-31,24212.01
42730.0,440114,23.466404,113.147044,commercial,4.0,14266.8,2.9950654666778815,730.0,,81755.0,4180.75,2025-02-18,2023-02-19,9000.0
6413.96,440112,23.202947,113.573869,industrial,1.0,,,549.0,,78409.0,3996.8260869565215,2024-02-27,2022-08-27,4200.0
14352.0,440111,23.217283,113.227277,commercial,1.0,4784.0,3.0,466.0,,81755.0,4161.6875,2024-04-29,2023-01-19,3500.0
35000.0,440114,23.46737,113.361569,industrial,1.0,11536.0,3.033980582524272,140.0,,81755.0,4180.75,2023-06-29,2023-02-09,10500.0
8000.0,440114,23.32865,113.136672,industrial,3.0,3131.0,2.5550942190993293,455.0,,78409.0,4751.8421052631575,2023-08-29,2022-05-31,10000.0
8604.19,440114,23.397628,113.191849,public,1.0,12805.0,1.14,550.0,,81755.0,4161.6875,2024-08-03,2023-01-31,9250.0
28259.0,440103,23.092414,113.229826,residential,,8469.0,3.336757586491912,1096.0,,78409.0,4751.8421052631575,2025-05-30,2022-05-30,14000.0
42160.28,440111,23.301316,113.332021,industrial,2.0,42160.28,1.0,517.0,,78409.0,3974.619047619048,2023-12-30,2022-07-31,18000.0
3540.5,440112,23.136662,113.510803,industrial,1.0,3212.0,1.102,493.0,,81755.0,3968.7894736842095,2024-08-29,2023-04-24,12039.0
315323.0,440111,23.170227,113.235492,mixed use,1.0,8858.0,,851.0,,81755.0,4161.6875,2025-05-31,2023-01-31,13000.0
136935.0,440114,23.35874,113.145858,industrial,5.0,59341.0,3.0,730.0,,78409.0,4751.8421052631575,2024-05-30,2022-05-31,29600.0
42252.0,440113,23.0158,113.411312,residential,2.0,,,1095.0,,78409.0,3712.090909090909,2025-11-09,2022-11-10,22164.0
87905.58,440114,23.372879,113.132108,industrial,2.0,23531.0,3.7357349878883177,533.0,,78409.0,4751.8421052631575,2023-10-30,2022-05-15,23100.0
49076.27,440183,23.169703,113.613685,industrial,,89049.66,0.551111256348424,261.0,,78409.0,3791.9523809523807,2023-05-30,2022-09-11,8150.0
32519.3,440104,23.166464,113.250581,mixed use,1.0,,,795.0,,78409.0,3697.875,2024-12-13,2022-10-10,15968.41
93917.19,440114,23.408904,113.255844,industrial,6.0,22840.0,4.111961033274956,1130.0,,81755.0,3968.7894736842095,2026-06-03,2023-04-30,10963.2
21.9,440112,23.097863,113.450873,commercial,1.0,21.9,1.0,1149.0,,78409.0,4009.4545454545455,2026-02-08,2022-12-17,11800.0
8235.5,440112,23.393038,113.49093,industrial,,8235.5,1.0,181.0,,78409.0,3697.875,2023-04-30,2022-10-31,2000.0
22388.0,440111,23.202612,113.337323,public,1.0,7399.0,3.0258142992296255,88.0,,78409.0,4009.4545454545455,2023-03-29,2022-12-31,25000.0
4862.0,440114,23.327745,113.110704,industrial,,,,456.0,,78409.0,4009.4545454545455,2024-03-14,2022-12-14,2238.0
9962.7,440112,23.07154,113.378968,industrial,1.0,2997.0,2.5,304.0,,78409.0,3996.8260869565215,2023-06-29,2022-08-29,10129.65
5095.4,440104,23.13706,113.313992,residential,1.0,,,913.0,,78409.0,4009.4545454545455,2025-06-09,2022-12-09,47800.0
24797.77,440111,23.192163,113.247889,supporting facilities,2.0,31794.0,0.7799512486632698,1918.0,9730.66666666667,66934.0,3481.8,2024-12-29,2019-09-29,36000.0
812.5,440112,23.073378,113.503948,industrial,1.0,812.5,1.0,486.0,,78409.0,3996.8260869565215,2023-12-30,2022-08-31,2700.0
27000.0,440184,23.605978,113.527833,industrial,,33333.0,0.8100081000810008,471.0,,78409.0,4009.4545454545455,2024-04-09,2022-12-25,16149.42
29505.0,440115,22.697779,113.515409,industrial,2.0,4618.0,6.389129493287137,471.0,,78409.0,4009.4545454545455,2024-04-13,2022-12-29,10497.6203
32530.0,440115,22.831701,113.334223,commercial,1.0,,,750.0,,78409.0,4009.4545454545455,2024-12-30,2022-12-11,3766.8361
25238.21,440113,22.992225,113.306325,industrial,1.0,,,147.0,,78409.0,3712.090909090909,2023-04-09,2022-11-13,7268.62
63116.0,440113,23.003296,113.398795,industrial,4.0,,,339.0,,78409.0,3712.090909090909,2023-11-03,2022-11-29,25000.0
79768.0,440114,23.368305,113.239326,industrial,3.0,14442.0,5.523334718183077,399.0,,78409.0,4009.4545454545455,2024-01-16,2022-12-13,30000.0
42818.71,440103,23.051766,113.201954,commercial,,3300.0,12.975366666666666,1096.0,,81755.0,4325.652173913043,2026-03-31,2023-03-31,34650.5272
5000.0,440184,23.600484,113.684197,commercial,1.0,3000.0,1.6666666666666667,748.0,,78409.0,4009.4545454545455,2024-12-26,2022-12-09,2100.0
23806.0,440112,23.146296,113.453456,industrial,1.0,22000.0,1.082090909090909,142.0,,78409.0,3996.8260869565215,2022-12-29,2022-08-09,32339.0
84060.0,440112,23.114533,113.52557,commercial,2.0,18989.0,5.01,731.0,,78409.0,3697.875,2024-10-30,2022-10-30,48600.0
95000.0,440111,23.336763,113.290975,public,,34835.0,2.7271422419979907,273.0,,78409.0,3712.090909090909,2023-08-30,2022-11-30,1600.0
12962.37,440112,23.142576,113.500571,mixed use,1.0,5000.3,2.5923184608923466,547.0,,78409.0,3697.875,2024-04-29,2022-10-30,8467.98
45616.15,440114,23.351162,113.247202,commercial,4.0,6974.49,6.5404280456348785,365.0,,78409.0,3712.090909090909,2023-11-30,2022-11-30,12000.0
13684.78,440111,23.312472,113.299671,commercial,1.0,4777.73,2.5,120.0,,78409.0,3712.090909090909,2023-03-06,2022-11-06,3600.0
147523.12,440112,-1.0,-1.0,residential,,25444.0,4.37,1521.0,,76064.0,5506.9375,2025-12-30,2021-10-31,26418.0229
